mbs;postupak;datum_stecaja
10046878;1;
10046894;1;
10047016;1;
10047024;1;
10047104;1;
10047188;1;
10047196;1;
10047231;1;
10047362;1;
10047395;1;
10047434;1;
10047483;1;
10047491;1;
10047547;1;
10047602;1;
10047627;1;
10047643;1;
10047651;1;
10047660;1;
10047709;1;
10047725;1;
10047741;1;
10047750;1;
10047776;1;
10047805;2;2019-09-17T22:00:00Z
10047864;1;
10047872;1;
10047910;1;
10047936;1;
10047969;1;
10048011;1;
10048046;1;
10048054;1;
10048062;1;
10048095;1;
10048100;1;
10048126;2;2016-09-20T22:00:00Z
10048134;1;
10048159;1;
10048175;1;
10048183;1;
10048222;1;
10048239;1;
10048280;5;
10048302;1;
10048351;1;
10048378;1;
10048417;1;
10048425;1;
10048433;1;
10048450;1;
10048468;1;
10048476;1;
10048513;4;
10048521;1;
10048597;1;
10048601;1;
10048610;1;
10048716;1;
10048749;1;
10048773;1;
10048812;1;
10048837;1;
10048870;1;
10048907;4;
10048915;1;
10048931;1;
10048958;1;
10048982;1;
10048999;1;
10049006;5;
10049119;2;2018-04-18T22:00:00Z
10049127;1;
10049135;1;
10049178;2;
10049250;1;
10049292;5;
10049305;1;
10049313;1;
10049321;1;
10049356;1;
10049372;1;
10049410;1;
10049428;1;
10049477;1;
10049557;1;
10049604;1;
10049645;3;
10049740;1;
10049811;1;
10049895;1;
10049934;1;
10049959;1;
10049967;1;
10050004;1;
10050053;1;
10050096;1;
10050131;1;
10050174;5;
10050279;1;
10050359;1;
10050367;1;
10050414;1;
10050439;1;
10050447;1;
10050463;1;
10050471;1;
10050519;1;
10050543;1;
10050594;1;
10050609;1;
10050625;1;
10050633;1;
10050764;1;
10051074;1;
10051146;1;
10051242;1;
10051259;1;
10051283;3;
10051291;1;
10051306;1;
10051322;3;
10051347;1;
10051363;1;
10051398;1;
10051402;1;
10051427;3;
10051550;3;
10051584;5;
10051648;1;
10051672;1;
10051710;1;
10051785;1;
10051808;1;
10051832;1;
10051912;1;
10051953;1;
10051988;1;
10051996;1;
10052034;1;
10052067;1;
10052075;1;
10052083;1;
10052122;1;
10052235;1;
10052278;1;
10052317;3;
10052392;1;
10052413;1;
10052430;1;
10052489;1;
10052497;1;
10052501;1;
10052593;1;
10052690;1;
10052753;1;
10052788;1;
10052796;1;
10052815;5;
10052840;1;
10052874;1;
10052903;1;
10052920;1;
10052938;1;
10053027;1;
10053043;1;
10053168;1;
10053230;1;
10053264;1;
10053377;5;
10053473;1;
10053481;5;
10053529;1;
10053537;1;
10053553;1;
10053596;1;
10053623;1;
10053666;1;
10053703;1;
10053720;1;
10053746;1;
10053795;1;
10053826;1;
10053842;2;2018-10-23T22:00:00Z
10053875;2;2016-04-24T22:00:00Z
10053883;1;
10053891;3;
10053963;1;
10053980;1;
10053998;1;
10054030;2;2018-12-17T23:00:00Z
10054064;1;
10054128;1;
10054169;1;
10054193;1;
10054208;1;
10054216;1;
10054249;1;
10054257;1;
10054281;1;
10054329;1;
10054337;1;
10054361;1;
10054396;1;
10054407;1;
10054423;1;
10054431;1;
10054474;1;
10054482;1;
10054520;1;
10054538;1;
10054546;1;
10054618;1;
10054683;1;
10054691;1;
10054706;1;
10054714;1;
10054780;1;
10054798;1;
10054827;1;
10054835;1;
10054851;2;2017-03-28T22:00:00Z
10054894;1;
10054917;1;
10054933;1;
10054941;1;
10054976;1;
10054984;1;
10055057;1;
10055073;1;
10055081;1;
10055112;1;
10055196;1;
10055231;1;
10055240;1;
10055274;1;
10055282;1;
10055346;1;
10055362;1;
10055379;1;
10055418;1;
10055426;1;
10055563;1;
10055627;1;
10055686;1;
10055694;1;
10055717;1;
10055768;1;
10055848;1;
10055856;1;
10055901;1;
10055910;1;
10055944;1;
10055985;1;
10056020;1;
10056087;1;
10056142;3;
10056159;1;
10056206;1;
10056222;1;
10056247;1;
10056255;2;2020-01-29T23:00:00Z
10056263;1;
10056298;1;
10056302;1;
10056335;1;
10056343;3;
10056351;1;
10056360;1;
10056417;1;
10056425;1;
10056450;1;
10056564;1;
10056597;1;
10056644;1;
10056685;1;
10056708;1;
10056724;7;
10056773;1;
10056781;1;
10056812;1;
10056974;1;
10056982;1;
10057055;1;
10057063;1;
10057071;1;
10057178;1;
10057250;1;
10057268;1;
10057276;1;
10057321;1;
10057348;1;
10057410;4;
10057428;1;
10057444;1;
10057516;1;
10057645;1;
10057653;1;
10057661;1;
10057670;1;
10057696;2;2017-01-16T23:00:00Z
10057774;1;
10057782;3;
10057799;1;
10057820;3;
10057838;1;
10057854;1;
10057895;1;
10057967;1;
10057991;1;
10058009;1;
10058017;1;
10058084;1;
10058105;1;
10058113;1;
10058121;6;
10058164;1;
10058201;1;
10058236;1;
10058252;1;
10058277;1;
10058308;1;
10058324;1;
10058349;1;
10058357;1;
10058381;1;
10058429;1;
10058445;1;
10058453;1;
10058461;1;
10058488;1;
10058496;1;
10058531;1;
10058540;1;
10058566;1;
10058574;2;2018-03-21T23:00:00Z
10058582;1;
10058620;1;
10058700;1;
10058742;1;
10058767;1;
10058775;1;
10058783;1;
10058791;1;
10058919;1;
10058927;1;
10058951;2;2019-02-28T23:00:00Z
10058986;1;
10058994;1;
10059001;1;
10059010;1;
10059028;1;
10059052;1;
10059077;1;
10059085;1;
10059093;1;
10059116;1;
10059124;1;
10059149;1;
10059173;1;
10059181;1;
10059212;1;
10059229;1;
10059245;1;
10059253;1;
10059261;1;
10059296;1;
10059307;1;
10059323;1;
10059331;2;2016-08-30T22:00:00Z
10059374;1;
10059382;1;
10059420;1;
10059462;1;
10059479;1;
10059495;1;
10059518;1;
10059526;1;
10059534;3;
10059559;1;
10059567;1;
10059591;1;
10059639;1;
10059698;1;
10059702;1;
10059719;1;
10059727;1;
10059735;1;
10059760;1;
10059778;1;
10059809;1;
10059850;3;
10059868;1;
10059921;1;
10059964;1;
10059989;1;
10060000;3;
10060018;1;
10060026;1;
10060034;1;
10060083;1;
10060122;1;
10060198;1;
10060219;1;
10060227;1;
10060278;1;
10060294;6;
10060309;1;
10060325;1;
10060341;1;
10060376;1;
10060384;1;
10060421;1;
10060464;1;
10060489;1;
10060501;1;
10060510;1;
10060528;1;
10060552;1;
10060593;1;
10060608;1;
10060632;5;
10060690;1;
10060704;1;
10060712;1;
10060753;1;
10060807;1;
10060815;1;
10060823;1;
10060840;1;
10060938;1;
10060946;1;
10061035;1;
10061043;1;
10061060;1;
10061086;1;
10061094;1;
10061109;1;
10061221;1;
10061230;1;
10061264;1;
10061289;1;
10061310;1;
10061328;1;
10061369;1;
10061385;1;
10061416;5;
10061449;1;
10061473;1;
10061504;1;
10061512;1;
10061529;1;
10061537;1;
10061561;1;
10061623;1;
10061631;1;
10061674;1;
10061711;1;
10061738;1;
10061787;1;
10061795;1;
10061842;2;2018-08-29T22:00:00Z
10061891;1;
10061906;1;
10061914;1;
10061939;1;
10061947;1;
10061955;1;
10061971;1;
10061998;1;
10062089;1;
10062101;1;
10062216;1;
10062224;1;
10062232;1;
10062249;1;
10062290;1;
10062329;1;
10062345;1;
10062388;3;
10062474;1;
10062499;2;2019-05-14T22:00:00Z
10062511;1;
10062546;1;
10062626;1;
10062642;1;
10062691;1;
10062714;1;
10062780;1;
10062835;1;
10062909;1;
10062917;1;
10062925;1;
10062933;1;
10062984;1;
10063016;2;2017-03-13T23:00:00Z
10063057;1;
10063090;1;
10063145;1;
10063153;1;
10063188;1;
10063231;1;
10063258;1;
10063274;1;
10063282;1;
10063311;3;
10063338;1;
10063362;2;2019-10-14T22:00:00Z
10063387;1;
10063395;1;
10063400;1;
10063442;1;
10063467;1;
10063483;1;
10063491;1;
10063522;1;
10063571;3;
10063619;1;
10063651;1;
10063725;5;
10063776;1;
10063813;1;
10063848;1;
10063856;1;
10063897;1;
10063910;1;
10064011;1;
10064020;1;
10064038;1;
10064079;1;
10064087;5;
10064118;1;
10064134;1;
10064167;1;
10064191;5;
10064214;1;
10064255;1;
10064263;1;
10064280;1;
10064319;1;
10064335;1;
10064378;1;
10064386;1;
10064425;1;
10064433;1;
10064450;1;
10064572;1;
10064597;1;
10064610;1;
10064628;1;
10064708;1;
10064724;1;
10064732;1;
10064749;1;
10064765;1;
10064790;1;
10064804;1;
10064829;1;
10064974;1;
10065006;1;
10065014;1;
10065039;1;
10065047;1;
10065071;1;
10065098;1;
10065160;1;
10065194;1;
10065209;1;
10065225;1;
10065233;1;
10065250;3;
10065284;1;
10065292;1;
10065313;4;
10065330;1;
10065410;1;
10065428;1;
10065444;1;
10065516;1;
10065532;1;
10065557;1;
10065645;1;
10065653;1;
10065661;1;
10065688;1;
10065723;1;
10065731;1;
